pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
3.717507,4.507048,6.179947,4.623034,5.741682,8.076556
3.973119,4.511885,6.894847,4.435966,5.461215,7.752194
3.538721,4.573003,6.532684,4.505732,5.691781,7.976330
4.093544,4.645039,6.888448,4.964484,5.999135,8.583175
3.944172,4.654203,6.477354,4.792207,5.535249,7.994838
3.515649,4.550226,6.553280,5.331456,5.537312,7.936027
3.793635,4.462196,6.987235,4.640289,5.630919,7.697925
3.767797,4.900322,6.268731,4.777710,5.515758,7.596678
3.757259,4.348487,6.524592,4.881656,5.761367,8.213383
3.418736,4.722906,6.571189,4.708228,5.880844,7.758993
3.368754,4.558730,6.581798,4.601959,5.191131,7.257700
3.759689,5.206848,7.277186,4.497115,5.617711,7.543168
3.863158,4.616531,6.742131,4.634988,5.658000,7.806377
3.708620,4.518552,6.228728,4.885324,5.368316,7.506772
3.825783,4.437945,6.630030,4.718014,5.751985,8.370832
3.577672,4.642426,6.637884,4.612494,5.714906,7.841786
3.724921,4.162778,6.048579,4.357994,5.630891,7.895671
3.594745,4.420692,6.778381,4.752640,5.458399,8.109493
3.603135,4.626672,7.345040,4.781874,5.091089,7.158705
3.706935,4.722380,7.407540,4.584732,6.082599,8.175860
3.794673,4.587000,6.798100,4.802054,5.577161,8.509333
3.643236,4.408724,6.494132,4.692079,5.429337,7.660031
3.501680,4.763352,7.348757,4.765482,5.931250,7.603715
3.798931,4.605788,6.720724,4.690302,5.710233,8.558764
3.877800,4.561167,6.730881,4.536707,5.969384,9.003955
3.789269,4.649140,6.597172,4.505465,5.453588,7.765837
3.950922,4.712340,6.944381,4.493830,5.190043,7.624058
3.346798,4.553164,6.729803,4.642561,5.329814,7.825620
3.719350,4.316890,6.222561,4.674935,5.677842,6.758598
3.728447,4.605097,6.995567,4.982742,5.702878,7.378430
3.787969,4.682786,6.635147,4.663012,5.420114,7.778024
3.486354,4.448587,7.071670,4.776745,5.707833,8.040464
3.604778,4.646893,7.086343,4.677431,5.456965,8.847016
3.910252,4.595872,6.964180,4.872448,5.551763,7.944573
3.640356,4.472596,6.577794,4.770878,5.630567,8.528486
3.718994,4.726802,6.553215,5.128544,5.752222,7.993595
3.927606,4.680460,6.600431,5.295140,5.517817,8.232127
3.700095,4.506111,6.379482,5.257616,5.696883,7.759055
3.640499,4.739581,6.846455,4.569643,5.102885,7.346273
3.582262,4.386758,6.570392,5.028489,5.570445,7.945530
3.766184,4.501613,7.429181,4.545865,5.784486,7.565300
3.637866,4.674958,6.351926,4.695327,5.413130,8.057844
3.745124,4.531251,7.035062,4.632839,5.079742,7.239221
3.825057,4.845759,6.671451,4.867716,5.859881,7.822732
