pt1_dltres,pt2_dltres,pt3_dltres
11.489770,1.079281,6.166494
7.840653,2.867231,5.919965
8.747221,0.172756,6.365135
6.333971,0.528691,4.644332
5.691551,0.576382,5.143287
14.351823,1.210719,3.354591
9.149225,0.291417,6.286450
10.978197,0.417532,2.643124
9.173534,0.250555,1.920754
6.967039,1.673408,0.580311
4.800808,0.311182,0.684557
14.603323,3.261160,7.351791
15.997063,1.727969,10.573150
12.510284,1.293413,6.050743
3.757645,0.002958,5.333817
1.003198,2.029408,6.539901
7.539096,0.614730,5.231455
9.242063,0.811808,6.001420
9.525043,0.385527,6.038030
8.497963,1.050298,4.464065
9.429316,0.975543,2.852752
5.765453,1.407588,4.722862
7.063540,2.808082,7.671109
11.470059,0.253126,7.441811
8.404762,2.776292,8.293896
11.480087,1.776866,7.164947
11.735697,1.708715,6.893269
8.575102,2.850895,8.198129
7.115611,1.411390,9.512009
10.836389,1.688433,10.442553
5.393871,2.391137,7.597661
3.442031,5.138662,3.306595
0.457182,5.394602,2.618766
3.819869,5.025039,2.073846
3.667306,3.780683,5.791711
1.876990,2.718475,3.963089
5.543608,0.658160,3.483345
4.945483,0.937489,3.169324
1.735414,2.645195,2.966880
3.986980,0.477781,1.273103
2.777906,0.726250,0.441516
0.019666,1.032754,1.438837
0.561541,1.403183,0.088397
0.283307,0.025610,2.974330
1.543397,1.898248,1.853207
1.241249,1.029462,1.727370
3.709878,1.059730,0.389959
1.514505,0.885045,0.930326
2.454037,0.641470,0.408076
2.816363,0.817020,1.830362
1.441427,1.066562,0.748362
1.179128,0.616719,0.899303
0.843585,0.842359,0.799275
2.818423,1.413476,2.507427
2.648306,2.844624,1.263263
0.649355,1.986236,0.223268
0.545056,1.159926,2.699918
1.714662,1.342096,0.258478
0.333407,0.416169,1.220738
1.086505,0.103565,2.665795
1.226807,0.052049,0.628132
0.811812,0.302447,0.861558
2.032358,1.915660,0.819822
0.368492,0.751899,0.662556
0.434048,1.045632,0.606526
0.680823,1.049843,0.661707
3.351304,0.365444,2.113123
