pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
45.342898,-12.834784,3.027842,32.561080,-11.324528,26.466134,NaN,NaN,NaN
45.119098,-12.927215,3.150685,32.100443,-11.385321,26.475120,NaN,NaN,NaN
44.937348,-13.006180,3.261546,31.707831,-11.451256,26.489830,NaN,NaN,NaN
44.810052,-13.073515,3.359489,31.404457,-11.511069,26.514808,NaN,NaN,NaN
44.740971,-13.137506,3.444073,31.195380,-11.556698,26.554122,NaN,NaN,NaN
44.724274,-13.205769,3.515503,31.062549,-11.560174,26.610844,NaN,NaN,NaN
44.746708,-13.278540,3.575675,30.971601,-11.473484,26.688446,NaN,NaN,NaN
44.793043,-13.351019,3.628356,30.892180,-11.282713,26.790629,NaN,NaN,NaN
44.850674,-13.422038,3.677552,30.815627,-11.062421,26.917525,NaN,NaN,NaN
44.910361,-13.497324,3.724991,30.750649,-10.939094,27.061427,NaN,NaN,NaN
44.965508,-13.583010,3.768995,30.702185,-10.970410,27.207400,NaN,NaN,NaN
45.013276,-13.678914,3.805464,30.664290,-11.100127,27.338115,NaN,NaN,NaN
45.056294,-13.779631,3.829759,30.628909,-11.229638,27.439261,NaN,NaN,NaN
45.102570,-13.881310,3.837996,30.596319,-11.297911,27.501739,NaN,NaN,NaN
45.162751,-13.984923,3.827818,30.579306,-11.301634,27.520294,NaN,NaN,NaN
45.245762,-14.092536,3.799362,30.600965,-11.273633,27.490926,NaN,NaN,NaN
45.355332,-14.203299,3.755628,30.687488,-11.261682,27.408613,NaN,NaN,NaN
45.488220,-14.313641,3.701527,30.857317,-11.324264,27.266990,NaN,NaN,NaN
45.633866,-14.417700,3.643297,31.110026,-11.521436,27.062558,NaN,NaN,NaN
45.777020,-14.507191,3.589772,31.419079,-11.879540,26.803127,NaN,NaN,NaN
45.902414,-14.574633,3.554069,31.732393,-12.346028,26.515463,NaN,NaN,NaN
45.997313,-14.617295,3.554230,31.988281,-12.803082,26.244081,NaN,NaN,NaN
46.050346,-14.637629,3.612035,32.142747,-13.162940,26.039261,NaN,NaN,NaN
46.049335,-14.636074,3.750899,32.180150,-13.403994,25.946617,NaN,NaN,NaN
45.982666,-14.601892,3.993476,32.111333,-13.555479,26.003066,NaN,NaN,NaN
45.843188,-14.515177,4.358660,31.964030,-13.680829,26.235143,NaN,NaN,NaN
45.630981,-14.353738,4.857955,31.764566,-13.850043,26.655410,NaN,NaN,NaN
45.354622,-14.097472,5.492156,31.520504,-14.072560,27.258801,NaN,NaN,NaN
45.032560,-13.734632,6.249390,31.221272,-14.244976,28.023087,NaN,NaN,NaN
44.694132,-13.274796,7.105196,30.861222,-14.202446,28.913195,NaN,NaN,NaN
44.378836,-12.763502,8.025218,30.463025,-13.852746,29.885432,NaN,NaN,NaN
44.132311,-12.289312,8.969896,30.077220,-13.269052,30.891235,NaN,NaN,NaN
43.998962,-11.974542,9.900159,29.764854,-12.696504,31.880430,NaN,NaN,NaN
44.015147,-11.950766,10.782143,29.574781,-12.447472,32.805870,NaN,NaN,NaN
44.205978,-12.324785,11.590153,29.525059,-12.724791,33.631206,NaN,NaN,NaN
44.585746,-13.144808,12.308998,29.606904,-13.541118,34.338542,NaN,NaN,NaN
45.160092,-14.382515,12.935064,29.809570,-14.758256,34.930664,NaN,NaN,NaN
