pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
732.620000,323.100000,494.480000,370.870000,649.810000,306.610000,381.019655,363.072202,NaN,NaN,NaN,NaN
733.510000,324.070000,494.900000,370.930000,651.960000,306.010000,381.019655,362.045327,NaN,NaN,NaN,NaN
733.310000,325.080000,495.040000,370.930000,653.050000,304.940000,381.030000,361.020000,NaN,NaN,NaN,NaN
730.689531,325.253911,500.137184,375.394705,653.660000,304.350000,383.073406,362.045327,NaN,NaN,NaN,NaN
729.140000,326.220000,500.350000,376.500000,654.080000,304.220000,386.154031,361.018452,NaN,NaN,NaN,NaN
728.240000,326.880000,501.450000,376.640000,659.835138,312.931408,386.154031,368.206578,NaN,NaN,NaN,NaN
732.229844,325.253911,501.610000,376.910000,661.890000,313.970000,382.046530,371.287204,NaN,NaN,NaN,NaN
731.290000,324.080000,498.083434,375.394705,662.360000,313.520000,382.046530,371.287204,NaN,NaN,NaN,NaN
731.740000,323.090000,497.056558,372.314079,663.130000,312.570000,381.360000,369.800000,NaN,NaN,NaN,NaN
732.270000,322.090000,497.280000,370.450000,664.120000,310.790000,381.130000,368.710000,NaN,NaN,NaN,NaN
732.720000,321.130000,496.029683,371.287204,664.990000,309.020000,380.890000,367.500000,NaN,NaN,NaN,NaN
732.080000,320.050000,495.330000,371.460000,665.250000,307.440000,380.310000,365.900000,NaN,NaN,NaN,NaN
731.800000,319.150000,495.560000,371.630000,665.290000,306.940000,369.724027,367.179703,NaN,NaN,NaN,NaN
730.689531,322.173285,495.950000,371.900000,664.990000,306.830000,369.970000,368.010000,NaN,NaN,NaN,NaN
732.229844,320.632972,496.220000,371.900000,665.680000,307.700000,370.220000,368.950000,NaN,NaN,NaN,NaN
731.030000,320.020000,495.800000,372.640000,665.860000,308.000000,369.700000,369.280000,NaN,NaN,NaN,NaN
