pt1_dltres,pt2_dltres,pt3_dltres
2.737213,0.207782,NaN
2.666974,0.149033,NaN
0.394332,0.010432,NaN
0.003271,0.468982,NaN
1.403536,0.715121,NaN
1.742365,0.441535,NaN
1.616727,0.109707,NaN
1.410615,1.195498,NaN
1.092182,2.582733,NaN
2.572311,2.688316,NaN
2.790789,1.898723,NaN
2.841311,1.605831,NaN
2.379957,1.623194,NaN
2.776564,1.679010,NaN
1.415478,1.678907,NaN
1.584554,0.545467,NaN
4.059664,0.491086,NaN
2.923829,0.699977,NaN
3.000836,0.793128,NaN
1.347215,0.598000,NaN
1.113228,0.583678,NaN
2.459298,1.370956,NaN
4.358441,2.148115,NaN
3.386598,0.534869,NaN
4.778990,1.228904,NaN
1.570198,2.069576,NaN
1.821305,0.310149,NaN
0.288087,1.432308,NaN
4.465794,1.556820,NaN
3.792891,0.074238,NaN
1.070569,1.689493,NaN
1.820867,2.325714,NaN
5.023785,0.530947,NaN
4.137275,1.374759,NaN
5.437402,1.687934,NaN
3.757840,0.188341,NaN
2.127802,1.201961,NaN
1.467717,2.474551,NaN
0.489055,1.253818,NaN
0.616687,0.866480,NaN
0.401324,0.942397,NaN
2.171623,3.618848,NaN
2.726939,0.303689,NaN
4.965251,0.832916,NaN
9.270796,0.140145,NaN
8.660864,1.770536,NaN
3.594271,2.214640,NaN
5.178079,1.739504,NaN
2.495061,2.399172,NaN
0.475385,0.755565,NaN
2.581617,2.048132,NaN
1.276769,0.731313,NaN
0.633239,1.255782,NaN
0.529036,1.191137,NaN
0.974897,1.461241,NaN
0.373984,1.186429,NaN
0.692120,1.794767,NaN
0.777428,1.626247,NaN
0.426642,1.453987,NaN
0.980063,1.086876,NaN
1.086568,2.523887,NaN
2.956195,1.714700,NaN
0.324651,0.891560,NaN
0.753786,6.362186,NaN
3.316338,5.187048,NaN
1.077035,0.283195,NaN
0.368262,0.905653,NaN
0.068526,0.699079,NaN
2.864699,1.341098,NaN
3.744197,0.769022,NaN
3.884589,1.330095,NaN
1.199870,0.492724,NaN
0.673756,0.102280,NaN
2.256819,1.794241,NaN
1.876768,1.011157,NaN
1.760240,0.455617,NaN
0.343077,0.319214,NaN
NaN,1.367601,NaN
NaN,1.211994,NaN
NaN,2.631576,NaN
NaN,2.180762,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
