pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.752619,0.836177,1.157879,0.617524,0.602913,0.900715
0.731909,0.765436,1.128690,0.605861,0.655028,0.979469
0.722763,0.760604,1.151446,0.616847,0.642938,0.880364
0.744338,0.778360,1.159099,0.558961,0.648210,0.937220
0.732124,0.808877,1.253644,0.586371,0.679277,1.039372
0.725235,0.817377,1.186807,0.632088,0.688943,0.918918
0.683264,0.797238,1.272506,0.632322,0.656182,0.965020
0.737265,0.813706,1.146348,0.635540,0.708099,0.966543
0.734349,0.799845,1.216632,0.606337,0.623437,0.969723
0.714570,0.859255,1.117457,0.639941,0.639982,0.845497
0.734638,0.811527,1.097808,0.617645,0.699733,0.979910
0.713397,0.844843,1.192739,0.626660,0.646051,0.970707
0.715861,0.801505,1.207509,0.588184,0.616375,0.954670
0.780057,0.809227,1.211254,0.597352,0.655243,0.885378
0.781546,0.778670,1.117876,0.566890,0.609316,0.915542
0.735738,0.829696,1.245819,0.640646,0.705828,0.973991
0.728660,0.801851,1.177746,0.617153,0.610200,0.920274
0.696148,0.818819,1.199500,0.608571,0.662423,0.936164
0.729118,0.828081,1.173609,0.620370,0.648491,0.893718
0.738752,0.872065,1.197281,0.623681,0.681238,0.925164
0.756738,0.810571,1.232061,0.576852,0.701947,1.011685
0.814509,0.850430,1.150556,0.597681,0.637389,0.931884
0.769773,0.815636,1.187607,0.608416,0.676083,0.886164
0.750936,0.870546,1.236978,0.605130,0.669737,0.918238
0.797748,0.793940,1.187491,0.605843,0.672231,0.884370
0.687458,0.842481,1.147595,0.582525,0.650763,0.970028
0.688262,0.846493,1.222920,0.657454,0.663031,0.879871
0.681041,0.806214,1.121119,0.608415,0.670042,0.958212
0.670528,0.794825,1.184813,0.618399,0.608130,0.964650
0.744161,0.842443,1.169072,0.556216,0.628964,0.914773
0.685830,0.850679,1.095313,0.579891,0.616192,0.920398
0.788255,0.801018,1.212966,0.613324,0.709477,0.958718
0.724664,0.899001,1.161111,0.603596,0.724958,0.985855
0.729146,0.827571,1.157592,0.575446,0.638113,0.957734
0.743495,0.813494,1.167575,0.639529,0.665918,0.994564
0.732055,0.825378,1.142378,0.614631,0.700028,0.990309
0.802445,0.714867,1.159953,0.614784,0.651391,0.960296
0.758751,0.844968,1.201732,0.594125,0.718536,0.942206
0.755754,0.802657,1.155109,0.605642,0.627590,0.891256
0.773641,0.748064,1.119786,0.602101,0.657922,0.971266
0.800569,0.736185,1.144284,0.644752,0.686653,0.925473
0.788799,0.814331,1.178470,0.595436,0.662802,0.897055
0.710180,0.833480,1.269975,0.597996,0.616976,0.841693
0.812413,0.796809,1.120093,0.559970,0.635612,1.031139
0.778772,0.837606,1.205260,0.663317,0.645214,0.887861
0.745759,0.784778,1.125698,0.580139,0.637928,0.932752
0.712214,0.793143,1.142928,0.629492,0.725608,0.863415
0.794436,0.822356,1.183433,0.638528,0.664286,0.907686
0.710553,0.818003,1.184877,0.587700,0.669060,1.054391
0.717984,0.826997,1.241537,0.636747,0.705960,0.954023
0.804289,0.784245,1.188176,0.598132,0.701430,0.897017
0.651606,0.854823,1.165689,0.612673,0.629431,0.945523
0.757343,0.786063,1.213476,0.590397,0.638585,0.932435
0.764963,0.774445,1.143365,0.598944,0.701003,1.000445
0.782090,0.785259,1.207267,0.606342,0.612621,0.922586
0.685252,0.851986,1.128188,0.613387,0.709690,0.978931
0.734864,0.857029,1.243015,0.594910,0.674128,0.932203
0.777377,0.875356,1.135557,0.621328,0.671661,0.980293
0.691524,0.827863,1.178954,0.607063,0.669748,0.957906
0.681618,0.851418,1.123068,0.606171,0.628095,0.945614
0.767789,0.793507,1.227226,0.578374,0.660294,0.941607
0.730292,0.850317,1.260207,0.617706,0.696449,0.984879
0.679017,0.815958,1.119523,0.580878,0.642346,0.933788
0.767177,0.850241,1.220719,0.607836,0.659010,0.970504
0.759149,0.853995,1.160583,0.605617,0.616421,0.967494
0.779118,0.798448,1.132282,0.642985,0.643152,0.936737
